,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
timestamp,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
20190404T0000,0.42052865,4.7105284,2.2117784,78.0,96.0,89.166664,0.35999998,27.36947,12.710377,258.03378
20190405T0000,0.41052866,11.870529,5.9921956,53.0,85.0,68.916664,5.0911684,24.408424,12.703698,126.308044
20190406T0000,2.3905284,16.32053,10.247613,44.0,75.0,57875,3.8268526,14.182355,7.8863673,356.90594
20190407T0000,7.4105287,11.130529,9.764695,61.0,83.0,72.75,10.630672,22.346113,17.578165,265.93555
20190408T0000,7.6405287,14.980529,11.050111,52.0,85.0,70.0,3.671294,12.819235,8.7634735,267.68295
20190409T0000,7.3605285,14.850529,10.795945,53.0,89.0,72.333336,1.835647,15.778518,7.885729,312.33405
20190410T0000,6.0305285,11.590529,9.114278,81.0,97.0,88.5,3.2599385,16.965895,9.685132,327.77548
20190411T0000,3.7105286,14.170529,9.13178,47.0,95.0,68.75,10.390226,26.67889,16.140154,357.02032
20190412T0000,0.72052866,12.760529,7.357612,51.0,85.0,63.083332,7.2359104,22.751316,13.986595,346.89893
20190413T0000,0.86052865,7.9405284,4.867195,55.0,84.0,67.083336,6.12,24.57511,15.588612,343.2791
20190414T0000,0.030528657,10.540529,5.1367784,50.0,95.0,73.333336,2.3051248,32.110706,14.03634,21.499237
20190415T0000,1.5105287,17.760529,10.238029,42.0,95.0,64.666664,1.609969,26.28,11.347192,99.2726
20190416T0000,6.6705284,15.330529,11.112195,48.0,84.0,63.25,1.08,12.287555,6.1622977,117.12131
20190417T0000,9.810529,18.95053,13.897197,46.0,91.0,68.791664,1.08,14.044615,6.345276,90.904594
20190418T0000,7.1105285,21.89053,14.800114,36.0,73.0,54.166668,5.8603754,15.379206,9.096311,93.8622
20190419T0000,7.8305287,22.88053,16.119696,33.0,80.0,53.583332,3.219938,14.007655,7.775402,95.15331
20190420T0000,10.190529,23.62053,16.986778,31.0,69.0,53.0,5.315336,15.496736,9.487993,97.22431
20190421T0000,9.240529,23.780529,16.405945,27.0,76.0,52125,6.0347,13.979871,9.7169,104.01381
20190422T0000,8.560529,22.90053,15.962613,26.0,62.0,45.416668,11.91812,26.552288,16.844484,107.0103
20190423T0000,7.5605288,22.38053,16.14261,38.0,70.0,53.166668,0.8049845,13.0447235,7.801127,101.30993
20190424T0000,8.810529,24.260529,15.66636,29.0,66.0,55.458332,4.1046314,37.57993,14.411157,168.89755
20190425T0000,6.0805287,23.72053,14.893445,24.0,91.0,57.708332,5.3999996,25.050413,15.196174,163.84607
20190426T0000,6.5005283,14.180529,9.878446,51.0,90.0,73125,5.0528407,16.516901,12.135173,236.30994
20190427T0000,6.540529,13.430529,9.320112,55.0,83.0,71.666664,8.557102,31.731092,19.923021,258.61826
20190428T0000,3.4805286,10.730529,7.319279,56.0,87.0,73.666664,2.9024127,23.576563,14.60761,271.7652
20190429T0000,6.290529,14.380529,10.293028,47.0,82.0,63.416668,1.08,16.56,7.740853,1.7899017
20190430T0000,9.270529,15.670529,12.168862,52.0,81.0,67.416664,3.9763298,19.70815,9.536743,341.20013
20190501T0000,5.4805284,19.330528,13.666364,44.0,95.0,64.708336,3.0547013,7.754637,5.871384,57.22512
20190502T0000,9.200529,18.690529,12.810947,43.0,87.0,69.958336,1.609969,25.6233,11.976746,261.02737
20190503T0000,8.290529,14.510529,11.000529,57.0,94.0,73.541664,3.0758414,16.79314,11.926369,322.67365
20190504T0000,2.1005285,12.200529,6.44178,60.0,88.0,79.333336,4.0249224,41.054203,18.714056,311.38318
20190505T0000,-0.6194713,10.720529,5.2159452,38.0,94.0,65.083336,5.771239,34.2303,20.207851,354.2761
20190506T0000,2.0905285,12.600529,7.8796945,43.0,82.0,58.958332,2.6208394,16.394829,7.6602407,335.30988
20190507T0000,3.9005284,16.910528,11.379696,35.0,74.0,51625,2.9024127,9.47012,5.9859595,95.302666
20190508T0000,8.840529,13.020529,11.480113,47.0,88.0,71.916664,7.5942073,27.859905,14.503112,193.13402
20190509T0000,7.8305287,14.190529,11.72261,53.0,81.0,66.5,11.525623,37.731365,25.68902,242.15302
20190510T0000,7.1605287,17.21053,12.849694,54.0,84.0,68.708336,2.8799999,12.783802,9.081138,218.60226
20190511T0000,8.610529,15.260529,12.828445,55.0,88.0,69.333336,7.7879906,43.34974,22.902262,262.4249
20190512T0000,5.9605284,14.200529,10.019695,44.0,95.0,65.541664,3.396233,28.44,16.214577,358.9088
20190513T0000,1.2005286,17.080528,10.201777,31.0,93.0,54.416668,3.8268526,29.301876,16.096287,55.57657
20190514T0000,2.5505285,15.600529,9.8542795,32.0,76.0,50.666668,0.8049845,22.104116,13.204476,61.96982
20190515T0000,2.3405285,16.020529,9.502195,37.0,79.0,56875,2.6208394,21.273533,10.613547,52.82804
20190516T0000,3.6205285,16.080528,10.897195,52.0,87.0,68.25,0.35999998,18.72346,7.363199,354.13043
20190517T0000,7.6405287,18.990528,13.71928,42.0,82.0,66125,3.096837,24.315327,11.767517,282.15494
20190518T0000,8.610529,18.360529,14.734279,53.0,84.0,66.708336,0.35999998,10.144082,5.3082194,54.940567
20190519T0000,11.470529,16.160528,14.045529,70.0,91.0,80.583336,0.8049845,14.372974,8.401433,304.19177
20190520T0000,11.570529,16.100529,13.641361,75.0,91.0,85.041664,9.028754,27.820337,19.151518,275.14142
20190521T0000,11.060529,17.31053,14.263863,63.0,88.0,74.791664,6.87779,30.676142,20.678076,277769
20190522T0000,9.970529,20.010529,15.00761,40.0,79.0,60875,2.2768397,16.23596,8.747857,337.5796
20190523T0000,9.910529,21.670528,16.4322,43.0,80.0,61625,0.35999998,13.698934,5.7951484,38.784363
